V1,V2
CGND-HRA-00653-v2-2-grch38,50102122
CGND-HRA-00654-v2-2-grch38,40090990
CGND-HRA-00655-v2-2-grch38,41185085
CGND-HRA-00656-v2-2-grch38,39818888
CGND-HRA-00657-v2-2-grch38,44460049
CGND-HRA-00658-v2-2-grch38,43791135
CGND-HRA-00659-v2-2-grch38,63843114
CGND-HRA-00660-v2-2-grch38,40515656
CGND-HRA-00661-v2-2-grch38,38785608
CGND-HRA-00662-v2-2-grch38,43759431
CGND-HRA-00663-v2-2-grch38,51321962
CGND-HRA-00664-v2-2-grch38,57243826
CGND-HRA-00665-v2-2-grch38,39517006
CGND-HRA-00666-v2-2-grch38,37036416
CGND-HRA-00667-v2-2-grch38,33166544
CGND-HRA-00668-v2-2-grch38,34229729
CGND-HRA-00669-v2-2-grch38,53722117
CGND-HRA-00670-v2-2-grch38,51109604
CGND-HRA-00671-v2-2-grch38,80746282
CGND-HRA-00672-v2-2-grch38,24672583
CGND-HRA-00673-v2-2-grch38,56380772
CGND-HRA-00674-v2-2-grch38,38089655
CGND-HRA-00675-v2-2-grch38,32602192
CGND-HRA-00676-v2-2-grch38,36437020
CGND-HRA-00677,39304108
CGND-HRA-00678,41520405
CGND-HRA-00679,38944762
CGND-HRA-00680-v2-2-grch38,39952037
CGND-HRA-00681-v2-2-grch38,52859153
CGND-HRA-00682,47955635
CGND-HRA-00683,102206931
CGND-HRA-00684-v2-2-grch38,57452889
CGND-HRA-00685-v2-2-grch38,57512539
CGND-HRA-00686-v2-2-grch38,46673441
CGND-HRA-00687-v2-2-grch38,37389503
CGND-HRA-00688-v2-2-grch38,39785526
CGND-HRA-00689-v2-2-grch38,37814975
CGND-HRA-00690-v2-2-grch38,42283553
CGND-HRA-00691-v2-2-grch38,42770343
CGND-HRA-00692-v2-2-grch38,34091862
CGND-HRA-00693-v2-2-grch38,43082873
CGND-HRA-00694-v2-2-grch38,39399375
CGND-HRA-00695-v2-2-grch38,36553357
CGND-HRA-00696-v2-2-grch38,56388376
CGND-HRA-00697-v2-2-grch38,43956507
CGND-HRA-00698-v2-2-grch38,43013929
CGND-HRA-00700-v2-2-grch38,46298676
CGND-HRA-00701-v2-2-grch38,35253775
CGND-HRA-00702-v2-2-grch38,40176839
CGND-HRA-00703-v2-2-grch38,40156158
CGND-HRA-00704-v2-2-grch38,36483226
CGND-HRA-00705-v2-2-grch38,51846656
CGND-HRA-00706-v2-2-grch38,40547128
CGND-HRA-00707-v2-2-grch38,56701509
CGND-HRA-00708-v2-2-grch38,41900446
