sample_id,library_size
CGND-HRA-01286,128111672
CGND-HRA-01287,75171596
CGND-HRA-01289,108024750
CGND-HRA-01295,100113592
CGND-HRA-01296,47992498
CGND-HRA-01302,60746080
CGND-HRA-01330,59869484
CGND-HRA-01332,89195662
CGND-HRA-01336,69789498
CGND-HRA-01338,74711458
CGND-HRA-01340,55461156
CGND-HRA-01348,122112050
CGND-HRA-01350,81087914
CGND-HRA-01356,68250028
CGND-HRA-01357,133847160
CGND-HRA-01358,57859392
CGND-HRA-01359,64581068
CGND-HRA-01360,61950670
CGND-HRA-01361,103319456
CGND-HRA-01362,60293086
CGND-HRA-01363,75833060
CGND-HRA-01364,95535618
CGND-HRA-01365,133404124
CGND-HRA-01366,74333148
CGND-HRA-01367,85972948
CGND-HRA-01369,96074008
CGND-HRA-01370,68239336
CGND-HRA-00371,74082384
CGND-HRA-00643,126595500
CGND-HRA-00676,83709348
CGND-HRA-00731,110594246
CGND-HRA-01178,94900842
CGND-HRA-01371,57380480
CGND-HRA-01372,75787422
CGND-HRA-01373,102560134
CGND-HRA-01378,102941644
CGND-HRA-01379,98676592
CGND-HRA-00322,76709330
CGND-HRA-00431-2,57431430
CGND-HRA-00537,68990094
CGND-HRA-00617,78009366
CGND-HRA-00624,116175958
CGND-HRA-00625,93401688
CGND-HRA-00626,93015578
CGND-HRA-00637,79536436
CGND-HRA-00638,91121710
CGND-HRA-00640,51881034
CGND-HRA-00641,76650928
CGND-HRA-00642,75438916
CGND-HRA-00644,90183120
CGND-HRA-00645,72350790
CGND-HRA-00648,109352506
CGND-HRA-00649,95882732
CGND-HRA-00650,111413578
CGND-HRA-00651,93580768
CGND-HRA-00652,97864774
CGND-HRA-00658,99072368
CGND-HRA-00659,145894342
CGND-HRA-00660,91158170
CGND-HRA-00661,87992114
CGND-HRA-00663,116398198
CGND-HRA-00664,129326848
CGND-HRA-00665,89731254
CGND-HRA-00666,84560480
CGND-HRA-00667,74617250
CGND-HRA-00668,77717962
CGND-HRA-00669,120839272
CGND-HRA-00670,119841070
CGND-HRA-00673,128955990
CGND-HRA-00674,90486702
CGND-HRA-00675,82555536
CGND-HRA-00680,95967780
CGND-HRA-00681,127544334
CGND-HRA-01184,118514086
CGND-HRA-01230,84388082
CGND-HRA-01250,90402466
CGND-HRA-01288,94972336
CGND-HRA-01290,93938824
CGND-HRA-00761,95924316
CGND-HRA-00763,91098270
CGND-HRA-00764,86664282
CGND-HRA-00765,85652462
CGND-HRA-00766,124633100
CGND-HRA-00767,107461174
CGND-HRA-00769,91123290
CGND-HRA-00770,87087276
CGND-HRA-00771,95188898
CGND-HRA-00772,96146854
CGND-HRA-00779,99817922
CGND-HRA-00781,84887316
CGND-HRA-00782,90270474
CGND-HRA-00802,110085538
CGND-HRA-00803,98884812
CGND-HRA-00804,89992250
CGND-HRA-00805,91274234
CGND-HRA-00806,98002736
CGND-HRA-00807,102660112
CGND-HRA-00808,92623880
CGND-HRA-00809,95597004
CGND-HRA-00810,121019150
CGND-HRA-00811,95276436
CGND-HRA-00812,105204784
CGND-HRA-00813,93968320
CGND-HRA-00814,98697942
CGND-HRA-00815,90501384
CGND-HRA-00816,100555326
CGND-HRA-00817,103349334
CGND-HRA-00818,89012534
CGND-HRA-00819,92544856
CGND-HRA-00820,92058380
CGND-HRA-00821,102279772
CGND-HRA-00822,92241368
CGND-HRA-00823,89971746
CGND-HRA-00824,115390506
CGND-HRA-00825,83367550
CGND-HRA-00826,97360104
CGND-HRA-00827,89973812
CGND-HRA-00828,99272584
CGND-HRA-00829,85467682
CGND-HRA-00830,95679550
CGND-HRA-00832,94363156
CGND-HRA-00833,96693724
CGND-HRA-00834,99189930
CGND-HRA-00835,94598450
CGND-HRA-00836,99247028
CGND-HRA-00837,90294824
CGND-HRA-00838,81969834
CGND-HRA-00839,93806798
CGND-HRA-00840,103172104
CGND-HRA-00841,80978478
CGND-HRA-00842,83285488
CGND-HRA-00843,83882186
CGND-HRA-00845,98898784
CGND-HRA-00847,89806664
CGND-HRA-00848,97317560
CGND-HRA-00849,85342854
CGND-HRA-00850,98556556
CGND-HRA-00851,98447770
CGND-HRA-00852,93200110
CGND-HRA-00853,96303728
CGND-HRA-00854,91027434
CGND-HRA-00855,89889098
CGND-HRA-00856,89221444
CGND-HRA-00857,87744062
CGND-HRA-00858,93399292
CGND-HRA-00859,85220272
CGND-HRA-00861,87499268
CGND-HRA-00862,105523448
CGND-HRA-00863,104706084
CGND-HRA-00864,82247182
CGND-HRA-00865,94285046
CGND-HRA-00866,84553152
CGND-HRA-00867,103073742
CGND-HRA-00868,94127754
CGND-HRA-00869,98766548
CGND-HRA-00870,96189484
CGND-HRA-00876,91090966
CGND-HRA-00877,97328142
CGND-HRA-00878,91135492
CGND-HRA-00879,81575470
CGND-HRA-00880,91217822
CGND-HRA-00881,88834876
CGND-HRA-00882,89660682
CGND-HRA-00883,89818258
CGND-HRA-00884,91643602
CGND-HRA-00885,96810422
CGND-HRA-00886,85524304
CGND-HRA-00887,89880366
CGND-HRA-01081,95341998
CGND-HRA-01082,87433380
CGND-HRA-01083,78873758
CGND-HRA-01604,97930998
CGND-HRA-01605,92627370
CGND-HRA-00888,283809806
CGND-HRA-00891,293266642
CGND-HRA-00892,280523586
CGND-HRA-00893,171214448
CGND-HRA-00894,254689210
CGND-HRA-00895,252087036
CGND-HRA-00896,249402950
CGND-HRA-00897,227059226
CGND-HRA-00898,239374888
CGND-HRA-00899,305758976
CGND-HRA-00900,271492548
CGND-HRA-00901,262449208
CGND-HRA-00903,297629004
CGND-HRA-00904,264035952
CGND-HRA-00905,247345288
CGND-HRA-00906,226228892
CGND-HRA-00907,234438054
CGND-HRA-00908,250051300
CGND-HRA-00909,348633720
CGND-HRA-00910,257985040
CGND-HRA-00911,295601736
CGND-HRA-00912,249436610
CGND-HRA-00913,252329542
CGND-HRA-00914,260470638
CGND-HRA-00915,298279658
CGND-HRA-00916,280620496
CGND-HRA-00917,253406122
CGND-HRA-00918,271109378
CGND-HRA-00919,248522974
CGND-HRA-00920,271425788
CGND-HRA-00921,279630060
CGND-HRA-00923,309342566
CGND-HRA-00924,226588884
CGND-HRA-00930,254646952
CGND-HRA-00931,271268986
CGND-HRA-00932,290682298
CGND-HRA-00933,251373124
CGND-HRA-00934,289665536
CGND-HRA-00936,310228148
CGND-HRA-00937,262551906
CGND-HRA-00938,276525400
CGND-HRA-00939,255226882
CGND-HRA-00940,283595360
CGND-HRA-00941,224012918
CGND-HRA-00942,235815908
CGND-HRA-00943,268436184
CGND-HRA-00944,301777648
CGND-HRA-00945,230612216
CGND-HRA-00946,229689746
CGND-HRA-00947,218978708
CGND-HRA-00948,259916926
CGND-HRA-00949,269864518
CGND-HRA-00950,262590214
CGND-HRA-00951,322201108
CGND-HRA-00953,237497948
CGND-HRA-00954,163535428
CGND-HRA-00955,264915402
CGND-HRA-00956,255675252
CGND-HRA-00957,268749460
CGND-HRA-00958,271130040
CGND-HRA-00959,266048210
CGND-HRA-00960,186736652
CGND-HRA-00961,277377762
CGND-HRA-00962,246465336
CGND-HRA-00963,246241274
CGND-HRA-00964,307135584
