barcode,platform,replicate,bc,leiden_labels_res20,cluster,n_genes,n_counts,percent_mito,umap_1,umap_2,donor_barcode,cluster_label,cell_type,junctions
Parse-1-04_43_03__sParse,Parse,1,04_43_03__sParse,3,Glutamatergic neuron,1331,1938,0.257997936016512,10.110919,5.5105915,04_43_03__sParse-1,Glu 1,Glutamatergic,473
Parse-1-04_43_22__sParse,Parse,1,04_43_22__sParse,1,Mural,1145,1936,2.78925619834711,3.5773711,8.835775,04_43_22__sParse-1,Mural 1,Mural,383
Parse-1-04_43_65__sParse,Parse,1,04_43_65__sParse,5,Mural-3,4246,10395,0.0673400673400673,1.608845,5.403088,04_43_65__sParse-1,Mural 3,Mural,2027
Parse-1-04_43_68__sParse,Parse,1,04_43_68__sParse,2,Mural-2,5723,17707,2.15733890551759,-0.4751318,5.7609477,04_43_68__sParse-1,Mural 2,Mural,3616
Parse-1-04_44_12__sParse,Parse,1,04_44_12__sParse,17,Glutamatergic neuron-6,3501,7568,0.885306553911205,-2.978357,10.967814,04_44_12__sParse-1,Glu 6,Glutamatergic,2011
Parse-1-04_45_04__sParse,Parse,1,04_45_04__sParse,4,Glutamatergic neuron-2,1115,1766,0,9.2142935,7.691007,04_45_04__sParse-1,Glu 2,Glutamatergic,367
Parse-1-04_45_26__sParse,Parse,1,04_45_26__sParse,3,Glutamatergic neuron,992,1599,6.06629143214509,9.265787,6.962622,04_45_26__sParse-1,Glu 1,Glutamatergic,418
Parse-1-04_45_67__sParse,Parse,1,04_45_67__sParse,11,GABAergic PVALB interneuron,1796,2985,0.033500837520938,-8.244808,6.1113496,04_45_67__sParse-1,PVALB 1,GABAergic,590
Parse-1-04_45_93__sParse,Parse,1,04_45_93__sParse,4,Glutamatergic neuron-2,2677,5045,0.178394449950446,10.9654665,7.559697,04_45_93__sParse-1,Glu 2,Glutamatergic,1191
Parse-1-04_46_24__sParse,Parse,1,04_46_24__sParse,8,OPC,2625,6215,1.78600160901046,2.390092,20.08885,04_46_24__sParse-1,OPC 1,OPC,768
Parse-1-04_46_88__sParse,Parse,1,04_46_88__sParse,8,OPC,1001,1418,0,1.8059477,21.017302,04_46_88__sParse-1,OPC 1,OPC,228
Parse-1-04_47_10__sParse,Parse,1,04_47_10__sParse,1,Mural,2478,4389,0.615174299384826,4.768199,9.623546,04_47_10__sParse-1,Mural 1,Mural,874
Parse-1-04_47_14__sParse,Parse,1,04_47_14__sParse,10,Glutamatergic neuron-5,2210,3927,3.25948561242679,7.701508,6.1901097,04_47_14__sParse-1,Glu 5,Glutamatergic,932
Parse-1-04_47_30__sParse,Parse,1,04_47_30__sParse,12,12,4548,13138,0.814431420307505,4.290004,12.876985,04_47_30__sParse-1,12,12,2245
Parse-1-04_47_46__sParse,Parse,1,04_47_46__sParse,1,Mural,3656,9180,0.740740740740741,5.666828,9.8510275,04_47_46__sParse-1,Mural 1,Mural,1531
